Online Episode,RMSE Regular,MAE,Mean_RMSE_Regular,IAE,IIAE,ISE,IISE,MAE,Online Episode,RMSE No_STER,MAE,Mean_RMSE_No_STER,IAE,IIAE,ISE,IISE,Online Episode,RMSE No_PI,MAE,Mean_RMSE_No_PI,IAE,IIAE,ISE,IISE,Online Episode,RMSE Near,MAE,Mean_RMSE_Near,IAE,IIAE,ISE,IISE,Online Episode,RMSE Zero,MAE,Mean_RMSE_Zero,IAE,IIAE,ISE,IISE
31,0.0057155309903379565,0.04386486413912216,,,,,,0.1847116529009445,31,0.011090613083134512,0.08806670771947767,,,,,,31,1.5914560222117937,4.653730763328942,,,,,,31,0.39027808319812995,1.667235739562984,,,,,,31,0.14098613028845106,0.1847116529009445,,,,,
32,0.005960012314084083,0.044736636123797524,,,,,,0.1634900632647005,32,0.01148129366918522,0.08257102537546412,,,,,,32,1.4574650567832879,4.141673471764573,,,,,,32,0.12883651721420367,0.1634900632647005,,,,,,32,0.12920274078638025,0.1634900632647005,,,,,
33,0.00567295546590427,0.047223902145390184,,,,,,0.15403473567829984,33,0.009754483046700974,0.07835009255696512,,,,,,33,1.79034928912506,4.552621750786789,,,,,,33,0.1521073425175266,0.6299703084929922,,,,,,33,0.12142052313102032,0.15403473567829984,,,,,
34,0.005505633234716925,0.044795788734726116,,,,,,0.14836419711566018,34,0.010202080893916556,0.07324601022361055,,,,,,34,1.437026397661454,4.356045866218623,,,,,,34,0.24649160111448132,1.170388367933532,,,,,,34,0.11302999980583632,0.14836419711566018,,,,,
35,0.005718312166073442,0.04210327394554181,,,,,,0.12892252202427468,35,0.010713039289627536,0.07720004658816304,,,,,,35,1.8409473468496982,5.389137771966083,,,,,,35,0.10416611888484983,0.12892252202427468,,,,,,35,0.10446673170497936,0.12892252202427468,,,,,
36,0.006095158703061849,0.04465385965890789,,,,,,0.12950014634954687,36,0.010139148697948684,0.07994016176609975,,,,,,36,2.5303301795094426,7.465671268084349,,,,,,36,0.20727384509458374,0.976491159363174,,,,,,36,0.09743403215864505,0.12950014634954687,,,,,
37,0.006276927513700334,0.03902983253685388,,,,,,0.11695916436260578,37,0.01073257149553579,0.07690083040887963,,,,,,37,3.4624903183258544,8.114142372607379,,,,,,37,0.09042477347130898,0.23853867714910804,,,,,,37,0.08909382932612507,0.11695916436260578,,,,,
38,0.006335319898363375,0.0487807158112159,,,,,,0.1136852223428404,38,0.01127997218239526,0.08636144774542398,,,,,,38,102.68349944950302,211.27777334594168,,,,,,38,0.1359215381582578,0.5352825133436792,,,,,,38,0.08359074210059549,0.1136852223428404,,,,,
39,0.005939538247406723,0.05109228850647707,,,,,,0.11383285308480717,39,0.0116542120876753,0.08934011704498257,,,,,,39,7.080109376121367,50.74847749395771,,,,,,39,0.3211058290700231,2.437601099322832,,,,,,39,0.07839419973967521,0.11383285308480717,,,,,
40,0.006063319264731389,0.04744217973400655,,,,,,0.10637903232797274,40,0.010719356728089262,0.07393103200044582,,,,,,40,37.73537073789806,181.96840099401402,,,,,,40,0.08309613567299792,0.3563289640606806,,,,,,40,0.07248199632888083,0.10637903232797274,,,,,
41,0.00620339245437515,0.04295952845365569,,,,,,0.11038231622151606,41,0.010367217051460216,0.07561195735985082,,,,,,41,173.4282996124967,217.71092432556384,,,,,,41,0.10000405149233603,0.4452500677529423,,,,,,41,0.06815671471068623,0.11038231622151606,,,,,
42,0.005580962402681064,0.04262633056143539,,,,,,0.1034466898514621,42,0.013301850892870445,0.07127489249526242,,,,,,42,46.23520802148579,189.60446480404977,,,,,,42,0.06514346060510423,0.2045653226921993,,,,,,42,0.06250796459616448,0.1034466898514621,,,,,
43,0.006151277655124813,0.04952353463866199,,,,,,0.09593503893771604,43,0.012146594578007711,0.08084294929631941,,,,,,43,2.047048541687116,7.854658954226725,,,,,,43,0.058573069266917424,0.16801365883290043,,,,,,43,0.05654893122449052,0.09593503893771604,,,,,
44,0.006972688418498251,0.05317409356147973,,,,,,0.10132804444570054,44,0.012151410006288024,0.09323408140771994,,,,,,44,4.278368789350142,17.381494266969096,,,,,,44,0.12722096406726316,0.49902915595170194,,,,,,44,0.05258149481690481,0.10132804444570054,,,,,
45,0.006775768499915097,0.0412128993315366,,,,,,0.10888209824976869,45,0.013231349239401448,0.07324862167230206,,,,,,45,8.312059812877695,23.08475796178742,,,,,,45,0.17449317630293817,1.2568248476552917,,,,,,45,0.049762357782450334,0.10888209824976869,,,,,
46,0.006654693121465818,0.04592260410464899,,,,,,0.10151063999670695,46,0.014895373538903703,0.1294121520810556,,,,,,46,6.949965531858044,16.764731584987878,,,,,,46,0.07084927606145382,0.3631685827615785,,,,,,46,0.04653148776816623,0.10151063999670695,,,,,
47,0.005818395809872791,0.03891855053125859,,,,,,0.09734943402788954,47,0.013320317665687286,0.08350259916341596,,,,,,47,102.67740059774158,214.0617127006666,,,,,,47,0.05454478801106102,0.2707424266539702,,,,,,47,0.042359331774891276,0.09734943402788954,,,,,
48,0.006782714502796363,0.038466949708394704,,,,,,0.10549843113112622,48,0.01648992939187664,0.09614944751004595,,,,,,48,173.00737170906072,217.8232444899271,,,,,,48,0.1292052662407855,0.48170680989887105,,,,,,48,0.0390849696080956,0.10549843113112622,,,,,
49,0.005769163765913377,0.0475615511536831,,,,,,0.10096393158599426,49,0.017859526158591814,0.11043128393866564,,,,,,49,177.37886441136578,216.8704085280428,,,,,,49,0.11375896336506366,0.4363037999280226,,,,,,49,0.03601079797251709,0.10096393158599426,,,,,
50,0.006042379047562207,0.04320494591314894,,,,,,0.09586129565950063,50,0.015460116793652995,0.08933645652108524,,,,,,50,149.1120324857265,214.8404611912727,,,,,,50,0.036151955481629916,0.10231396268901838,,,,,,50,0.034297263147314745,0.09586129565950063,,,,,
